Sýra,Fransýzca Kelime,Tür,Türkçe Anlamý,V1 (Mastar),V2 (Geniþ Zaman),V3 (Geçmiþ Ortaç)
219,une reconstruction,nf,,,,
219,un constructeur,nm,,,,
219,reconstruire,v,,,,
219,constructif,adj,,,,
220,une scène,nf,sahne,,,
220,un scénario,nm,,,,
220,"un, une scénariste","nm, nf",,,,
221,un secret,nm,sýr,,,
221,secret,adj,,,,
222,un plaisir,nm,"zevk, keyif",,,
222,plaire,v,,,,
222,plaisanter,v,,,,
222,déplaire,v,,,,
222,une plaisanterie,nf,,,,
222,une complaisance,nf,,,,
222,plaisant,adj,,,,
222,complaire,v,,,,
222,complaisant,adj,,,,
223,un dossier,nm,dosya,,,
223,un dos,nm,,,,
223,endosser,v,,,,
223,adosser,v,,,,
223,dorsal,adj,,,,
224,nul,adj,"sýfýr, geçersiz",,,
224,nullement,adv,,,,
225,une absence,nf,"yokluk, gaiplik",,,
225,absent,adj,,,,
225,un absent,nm,,,,
225,absenter,v,,,,
226,cher,adj,"pahalý, sevgili",,,
226,un chéri,nm,,,,
226,un renchérissement,nm,,,,
226,renchérir,v,,,,
226,chère,adj,,,,
227,immédiatement,adv,hemen,,,
227,immédiat,adj,,,,
227,occidental,adj,,,,
227,un occidental,nm,,,,
227,l'occident,nm,,,,
228,révéler,v,"ifþa etmek, ortaya çýkarmak",révéler,révèle,révélé
228,une révélation,nf,,,,
228,révélateur,adj,,,,
228,révélé,adj,,,,
229,couper,v,kesmek,couper,coupe,coupé
229,une coupure,nf,,,,
229,une coupe,nf,,,,
229,découper,v,,,,
229,un découpage,nm,,,,
229,recouper,v,,,,
230,une salle,nf,"salon, oda",,,
230,un salon,nm,,,,
231,une pièce,nf,oda; parça,,,
232,une équipe,nf,"takým, ekip",,,
232,un équipement,nm,,,,
232,équiper,v,,,,
232,un équipage,nm,,,,
232,un coéquipier,nm,,,,
232,un équipier,nm,,,,
233,une source,nf,kaynak,,,
234,un crime,nm,suç (aðýr),,,
234,criminel,adj,,,,
234,un criminel,nm,,,,
234,la criminalité,nf,,,,
234,incriminer,v,,,,
235,précédent,adj,önceki,,,
235,un précédent,nm,,,,
235,précéder,v,,,,
235,précédemment,adv,,,,
236,installer,v,"kurmak, monte etmek",installer,installe,installé
236,une installation,nf,,,,
237,facile,adj,kolay,,,
237,facilement,adv,,,,
237,faciliter,v,,,,
237,une facilité,nf,,,,
238,une impression,nf,izlenim,,,
238,impressionnant,adj,,,,
238,impressionner,v,,,,
239,un médecin,nm,doktor,,,
239,médical,adj,,,,
239,un médicament,nm,,,,
239,la médecine,nf,,,,
240,fédéral,adj,federal,,,
240,une fédération,nf,,,,
240,une confédération,nf,,,,
240,fédéraliste,adj,,,,
240,le fédéralisme,nm,,,,
241,la police,nf,polis,,,
241,policier,adj,,,,
241,un policier,nm,,,,
242,un coût,nm,maliyet,,,
242,coûter,v,,,,
242,coûteux,adj,,,,
243,un contrat,nm,sözleþme,,,
243,contracter,v,,,,
243,une contraction,nf,,,,
243,contractuel,adj,,,,
243,un contractuel,nm,,,,
244,normal,adj,normal,,,
244,normalement,adv,,,,
244,anormal,adj,,,,
244,une normalisation,nf,,,,
245,une attitude,nf,"tutum, tavýr",,,
246,une faute,nf,"hata, kusur",,,
247,une série,nf,"seri, dizi",,,
248,direct,adj,"direkt, doðrudan",,,
248,directement,adv,,,,
248,indirect,adj,,,,
248,indirectement,adv,,,,
249,une image,nf,"görüntü, resim",,,
249,imaginer,v,,,,
249,une imagination,nf,,,,
249,imaginaire,adj,,,,
249,inimaginable,adj,,,,
250,figurer,v,resmetmek,figurer,figure,figuré
250,une figure,nf,,,,
250,une configuration,nf,,,,
250,défigurer,v,,,,
250,transfigurer,v,,,,
251,pratique,adj,pratik,,,
251,une pratique,nf,,,,
251,pratiquer,v,,,,
251,pratiquement,adv,,,,
251,un praticien,nm,,,,
252,une pression,nf,baský,,,
252,la presse,nf,,,,
252,presser,v,,,,
252,s'empresser de,v,,,,
252,une compression,nf,,,,
252,pressant,adj,,,,
252,pressé,adj,,,,
252,un empressement,nm,,,,
253,un accès,nm,eriþim,,,
253,accéder,v,,,,
253,accessible,adj,,,,
253,inaccessible,adj,,,,
254,un champ,nm,"alan, tarla",,,
255,un film,nm,film,,,
255,filmer,v,,,,
256,envisager,v,"planlamak, öngörmek",envisager,envisage,envisagé
256,un visage,nm,,,,
256,envisageable,adj,,,,
256,dévisager,v,,,,
257,une ressource,nf,kaynak (imkân),,,
257,se ressourcer,v,,,,
258,monter,v,"yükselmek, çýkmak",monter,monte,monté
258,remonter,v,,,,
258,montant,adj,,,,
258,un montant,nm,,,,
258,surmonter,v,,,,
258,une montée,nf,,,,
258,un montage,nm,,,,
258,une remontée,nf,,,,
258,démonter,v,,,,
258,insurmontable,adj,,,,
258,une monture,nf,,,,
259,promettre,v,söz vermek,promettre,promet,promis
259,une promesse,nf,,,,
259,prometteur,adj,,,,
259,promis,adj,,,,
260,une motion,nf,önerge; hareket,,,
261,concentrer,v,yoðunlaþtýrmak,concentrer,concentre,concentré
261,une concentration,nf,,,,
262,exactement,adv,tam olarak,,,
262,exact,adj,,,,
262,une exactitude,nf,,,,
262,inexact,adj,,,,
263,composer,v,bestelemek; oluþturmak,composer,compose,composé
263,une composition,nf,,,,
263,une composante,nf,,,,
263,un composant,nm,,,,
263,composant,adj,,,,
263,un compositeur,nm,,,,
263,composite,adj,,,,
263,décomposer,v,,,,
263,composé,adj,,,,
263,une décomposition,nf,,,,
263,recomposer,v,,,,
264,un chemin,nm,yol,,,
264,acheminer,v,,,,
264,un acheminement,nm,,,,
264,une cheminée,nf,,,,
264,un cheminement,nm,,,,
264,cheminer,v,,,,
264,un cheminot,nm,,,,
265,une zone,nf,bölge,,,
266,la province,nf,taþra,,,
266,provincial,adj,,,,
266,un provincial,nm,,,,
267,une élection,nf,seçim,,,
267,élire,v,,,,
267,électoral,adj,,,,
267,un électeur,nm,,,,
267,élu,adj,,,,
267,un élu,nm,,,,
267,réélire,v,,,,
267,l'électorat,nm,,,,
267,une réélection,nf,,,,
268,un usage,nm,"kullaným, alýþkanlýk",,,
268,un usager,nm,,,,
269,un conflit,nm,"çatýþma, anlaþmazlýk",,,
269,conflictuel,adj,,,,
270,une enquête,nf,"soruþturma, anket",,,
270,enquêter,v,,,,
270,un enquêteur,nm,,,,
271,"un espace, une espace","nm, nf","boþluk, alan",,,
271,spatial,adj,,,,
271,un espacement,nm,,,,
271,aérospatial,adj,,,,
272,demain,adv,yarýn,,,
272,le lendemain,nm,,,,
273,hier,adv,dün,,,
274,remarquer,v,fark etmek,remarquer,remarque,remarqué
274,une remarque,nf,,,,
274,remarquable,adj,,,,
275,un égard,nm,"husus, önem",,,
276,supérieur,adj,üstün,,,
276,super,adj,,,,
276,le super,nm,,,,
276,une supériorité,nf,,,,
277,condamner,v,mahkûm etmek,condamner,condamne,condamné
277,une condamnation,nf,,,,
278,capital,adj,"temel, esas (sermaye)",,,
278,le capital,nm,,,,
278,une capitale,nf,,,,
278,le capitalisme,nm,,,,
278,une capitalisation,nf,,,,
278,capitaliser,v,,,,
279,une voiture,nf,araba,,,
280,un agent,nm,"ajan, memur",,,
280,une agence,nf,,,,
280,agencer,v,,,,
281,une tâche,nf,görev,,,
281,tâcher,v,,,,
282,raconter,v,anlatmak,raconter,raconte,raconté
282,un conte,nm,,,,
283,honorable,adj,saygýdeðer,,,
283,un honneur,nm,,,,
283,honorer,v,,,,
283,déshonorer,v,,,,
283,honoraire,adj,,,,
284,un contact,nm,"temas, iletiþim",,,
284,contacter,v,,,,
285,conclure,v,sonuca varmak; bitirmek,conclure,conclut,conclu
285,une conclusion,nf,,,,
285,concluant,adj,,,,
286,un fruit,nm,meyve,,,
286,fructueux,adj,,,,
286,infructueux,adj,,,,
287,un investissement,nm,yatýrým,,,
287,investir,v,,,,
287,un investisseur,nm,,,,
288,insister,v,ýsrar etmek,insister,insiste,insisté
288,une insistance,nf,,,,
288,insistant,adj,,,,
289,un avantage,nm,"avantaj, fayda",,,
289,avantageux,adj,,,,
289,avantager,v,,,,
289,désavantager,v,,,,
289,un désavantage,nm,,,,
290,probablement,adv,muhtemelen,,,
290,probable,adj,,,,
290,une probabilité,nf,,,,
290,improbable,adj,,,,
291,un voyage,nm,seyahat,,,
291,voyager,v,,,,
291,un voyageur,nm,,,,
292,une marche,nf,yürüyüþ; basamak,,,
292,marcher,v,,,,
293,commercial,adj,ticari,,,
293,un commercial,nm,,,,
293,un commerce,nm,,,,
293,un commerçant,nm,,,,
293,une commercialisation,nf,,,,
293,commercialiser,v,,,,
293,commercer,v,,,,
294,critique,adj,eleþtirel,,,
294,"un, une critique","nm, nf",,,,
294,critiquer,v,,,,
295,baisser,v,"düþürmek, azaltmak",baisser,baisse,baissé
295,une baisse,nf,,,,
295,abaisser,v,,,,
295,un abaissement,nm,,,,
296,"une somme, un somme","nf, nm",toplam; þekerleme,,,
296,sommer,v,,,,
297,une culture,nf,kültür,,,
297,culturel,adj,,,,
298,cacher,v,"saklamak, gizlemek",cacher,cache,caché
298,une cache,nf,,,,
299,définir,v,tanýmlamak,définir,définit,défini
299,une définition,nf,,,,
299,définitif,adj,,,,
299,définitivement,adv,,,,
299,défini,adj,,,,
299,redéfinir,v,,,,
299,indéfini,adj,,,,
299,une redéfinition,nf,,,,
300,un client,nm,müþteri,,,
300,une clientèle,nf,,,,
301,exploiter,v,"sömürmek, iþletmek",exploiter,exploite,exploité
301,une exploitation,nf,,,,
301,un exploit,nm,,,,
301,un exploitant (agricole),nm,,,,
302,exposer,v,sergilemek,exposer,expose,exposé
302,une exposition,nf,,,,
302,exposé,adj,,,,
302,un exposé,nm,,,,
302,une expo,nf,,,,
303,un progrès,nm,ilerleme,,,
303,progresser,v,,,,
303,progressivement,adv,,,,
303,une progression,nf,,,,
303,progressif,adj,,,,
303,"un, une progressiste","nm, nf",,,,
304,"un, une secrétaire","nm, nf",sekreter,,,
304,un secrétariat,nm,,,,
305,une mer,nf,deniz,,,
306,appuyer,v,"bastýrmak, desteklemek",appuyer,appuie,appuyé
306,un appui,nm,,,,
307,rentrer,v,eve dönmek,rentrer,rentre,rentré
307,une rentrée,nf,,,,
308,"un, une mémoire","nm, nf","tez, hatýra; hafýza",,,
308,mémorable,adj,,,,
309,un caractère,nm,karakter,,,
309,caractéristique,adj,,,,
309,une caractéristique,nf,,,,
309,caractériser,v,,,,
310,détruire,v,yok etmek,détruire,détruit,détruit
310,destructeur,adj,,,,
311,civil,adj,sivil,,,
311,un civil,nm,,,,
311,une civilisation,nf,,,,
311,civiliser,v,,,,
311,civique,adj,,,,
312,complexe,adj,karmaþýk,,,
312,un complexe,nm,,,,
312,une complexité,nf,,,,
313,un transport,nm,"nakliye, taþýma",,,
313,transporter,v,,,,
313,un transporteur,nm,,,,
314,une institution,nf,"kurum, kuruluþ",,,
314,un institut,nm,,,,
314,institutionnel,adj,,,,
314,instituer,v,,,,
314,un instituteur,nm,,,,
315,échapper,v,"kaçmak, kurtulmak",échapper,échappe,échappé
315,une échappatoire,nf,,,,
316,une négociation,nf,müzakere,,,
316,négocier,v,,,,
316,un négociateur,nm,,,,
316,un négociant,nm,,,,
316,un négoce,nm,,,,
316,négociable,adj,,,,
317,franc,adj,"samimi, dürüst",,,
317,un franc,nm,,,,
317,franchement,adv,,,,
317,une franchise,nf,,,,
318,un environnement,nm,"çevre, ortam",,,
318,environnemental,adj,,,,
318,environnant,adj,,,,
319,séparer,v,ayýrmak,séparer,sépare,séparé
319,une séparation,nf,,,,
319,"un, une séparatiste","nm, nf",,,,
319,séparément,adv,,,,
319,inséparable,adj,,,,
320,une réaction,nf,tepki,,,
320,réagir,v,,,,
320,un réacteur,nm,,,,
320,réactionnaire,adj,,,,
321,positif,adj,olumlu,,,
321,séropositif,adj,,,,
321,positivement,adv,,,,
321,positiver,v,,,,
322,scientifique,adj,bilimsel,,,
322,"un, une scientifique","nm, nf",,,,
322,une science,nf,,,,
322,scientifiquement,adv,,,,
323,un papier,nm,kaðýt,,,
324,une expression,nf,ifade,,,
325,une carte,nf,"harita, kart",,,
326,une association,nf,dernek,,,
326,associer,v,,,,
326,un associé,nm,,,,
326,associatif,adj,,,,
327,un modèle,nm,model,,,
327,modeler,v,,,,
328,commander,v,emretmek; sipariþ etmek,commander,commande,commandé
328,une commande,nf,,,,
328,un commandement,nm,,,,
328,un commandant,nm,,,,
329,déterminer,v,"belirlemek, saptamak",déterminer,détermine,déterminé
329,une détermination,nf,,,,
329,déterminé,adj,,,,
329,un déterminé,nm,,,,
329,déterminant,adj,,,,
329,un déterminant,nm,,,,
329,le déterminisme,nm,,,,
329,l'autodétermination,nf,,,,
329,prédéterminer,v,,,,
329,indéterminé,adj,,,,
330,un budget,nm,bütçe,,,
330,budgétaire,adj,,,,
331,une structure,nf,yapý,,,
331,une infrastructure,nf,,,,
331,structurel,adj,,,,
331,une restructuration,nf,,,,
331,structurer,v,,,,
331,restructurer,v,,,,
331,structuré,adj,,,,
332,complet,adj,"eksiksiz, tam",,,
332,un complet,nm,,,,
332,complètement,adv,,,,
332,compléter,v,,,,
332,incomplet,adj,,,,
333,exercer,v,"icra etmek, uygulamak",exercer,exerce,exercé
333,un exercice,nm,,,,
334,un amour,nm,aþk,,,
334,amoureux,adj,,,,
334,un amoureux,nm,,,,
335,manifester,v,"göstermek, sergilemek",manifester,manifeste,manifesté
335,une manifestation,nf,,,,
335,manifestement,adv,,,,
335,un manifestant,nm,,,,
335,manifeste,adj,,,,
335,un manifeste,nm,,,,
336,menacer,v,tehdit etmek,menacer,menace,menacé
336,une menace,nf,,,,
336,menaçant,adj,,,,
337,un outrage,nm,hakaret,,,
337,outrer,v,,,,
337,une outrance,nf,,,,
338,une bande,nf,þerit; bant,,,
338,bander,v,,,,
339,un signal,nm,sinyal,,,
339,signaler,v,,,,
339,signalé,adj,,,,
340,voisin,adj,komþu,,,
340,un voisin,nm,,,,
340,un voisinage,nm,,,,
340,avoisiner,v,,,,
340,avoisinant,adj,,,,
341,une réforme,nf,reform,,,
341,"un, une réformiste","nm, nf",,,,
341,réformer,v,,,,
341,réformateur,adj,,,,
341,un réformateur,nm,,,,
342,rejeter,v,reddetmek,rejeter,rejette,rejeté
342,jeter,v,,,,
342,un rejet,nm,,,,
342,un jet,nm,,,,
342,une jetée,nf,,,,
343,rouge,adj,kýrmýzý,,,
343,rougir,v,,,,
344,une majorité,nf,çoðunluk,,,
344,majeur,adj,,,,
344,un majeur,nm,,,,
344,majoritaire,adj,,,,
344,majoritairement,adv,,,,
344,un major,nm,,,,
344,une majoration,nf,,,,
344,majorer,v,,,,
345,autoriser,v,izin vermek,autoriser,autorise,autorisé
345,une autorisation,nf,,,,
346,effectuer,v,gerçekleþtirmek,effectuer,effectue,effectué
346,effectivement,adv,,,,
346,effectif,adj,,,,
346,l'effectif,nm,,,,
347,un bord,nm,"kenar, kýyý",,,
347,border,v,,,,
347,un rebord,nm,,,,
347,une bordure,nf,,,,
348,une faveur,nf,"iyilik, lütuf",,,
348,favoriser,v,,,,
348,favorable,adj,,,,
348,favori,adj,,,,
348,un favori,nm,,,,
348,défavoriser,v,,,,
348,défavorable,adj,,,,
348,favorablement,adv,,,,
349,une éducation,nf,eðitim (aile),,,
349,éducatif,adj,,,,
349,éduquer,v,,,,
349,un éducateur,nm,,,,
350,officiel,adj,resmi,,,
350,un office,nm,,,,
350,un officier,nm,,,,
350,officier,v,,,,
350,officiellement,adv,,,,
350,officieux,adj,,,,
350,officialiser,v,,,,
351,un document,nm,belge,,,
351,une documentation,nf,,,,
351,documenter,v,,,,
352,un aspect,nm,"görünüþ, yön",,,
353,retourner,v,geri dönmek; çevirmek,retourner,retourne,retourné
353,un retournement,nm,,,,
354,professionnel,adj,mesleki,,,
354,un professionnel,nm,,,,
354,une profession,nf,,,,
354,le professionnalisme,nm,,,,
355,auparavant,adv,önceden,,,
356,un animal,nm,hayvan,,,
356,animal,adj,,,,
357,utile,adj,faydalý,,,
357,inutile,adj,,,,
357,une utilité,nf,,,,
357,inutilement,adv,,,,
358,inscrire,v,"kaydetmek, yazmak",inscrire,inscrit,inscrit
358,une inscription,nf,,,,
358,inscrit,adj,,,,
359,une concurrence,nf,rekabet,,,
359,un concurrent,nm,,,,
359,concurrent,adj,,,,
359,concurrentiel,adj,,,,
359,concurrencer,v,,,,
360,rejoindre,v,"yeniden katýlmak, buluþmak",rejoindre,rejoint,rejoint
360,joindre,v,,,,
360,conjointement,adv,,,,
361,absolument,adv,"tamamen, mutlak olarak",,,
361,absolu,adj,,,,
362,une prison,nf,hapishane,,,
362,un prisonnier,nm,,,,
362,emprisonner,v,,,,
363,confirmer,v,"onaylamak, teyit etmek",confirmer,confirme,confirmé
363,une confirmation,nf,,,,
364,un salaire,nm,maaþ,,,
364,un salarié,nm,,,,
364,salarié,adj,,,,
364,salarial,adj,,,,
364,salarier,v,,,,
365,une lecture,nf,okuma,,,
365,un lecteur,nm,,,,
366,contribuer,v,katkýda bulunmak,contribuer,contribue,contribué
366,une contribution,nf,,,,
366,"un, une contribuable","nm, nf",,,,
367,attaquer,v,saldýrmak,attaquer,attaque,attaqué
367,une attaque,nf,,,,
367,un attaquant,nm,,,,
368,une table,nf,masa; tablo,,,
368,tabler,v,,,,
369,désormais,adv,bundan böyle,,,
370,lourd,adj,aðýr,,,
370,lourdement,adv,,,,
370,alourdir,v,,,,
370,un alourdissement,nm,,,,
370,une lourdeur,nf,,,,
371,susciter,v,"uyandýrmak, doðurmak",susciter,suscite,suscité
372,une république,nf,cumhuriyet,,,
372,républicain,adj,,,,
372,un républicain,nm,,,,
373,dur,adj,sert,,,
373,durement,adv,,,,
373,durcir,v,,,,
373,un durcissement,nm,,,,
373,une dureté,nf,,,,
374,contenir,v,içermek,contenir,contient,contenu
374,un contenu,nm,,,,
374,un conteneur,nm,,,,
375,déposer,v,"býrakmak, teslim etmek",déposer,dépose,déposé
375,un dépôt,nm,,,,
375,une déposition,nf,,,,
375,un dépositaire,nm,,,,
376,modifier,v,deðiþtirmek,modifier,modifie,modifié
376,une modification,nf,,,,
377,une communication,nf,iletiþim,,,
377,communiquer,v,,,,
377,un communiqué,nm,,,,
377,la télécommunication,nf,,,,
378,un échec,nm,baþarýsýzlýk; satranç,,,
378,une échéance,nf,,,,
378,échéant,adj,,,,
378,un échéancier,nm,,,,
378,échoir,v,,,,
379,transformer,v,dönüþtürmek,transformer,transforme,transformé
379,une transformation,nf,,,,
380,un frère,nm,erkek kardeþ,,,
380,un confrère,nm,,,,
380,la fraternité,nf,,,,
380,fraternel,adj,,,,
381,un vote,nm,oy,,,
381,voter,v,,,,
382,regretter,v,"piþman olmak, üzülmek",regretter,regrette,regretté
382,un regret,nm,,,,
382,regrettable,adj,,,,
383,une espèce,nf,"tür, çeþit",,,
384,une recommandation,nf,tavsiye,,,
384,recommander,v,,,,
385,consister,v,"oluþmak, ibaret olmak",consister,consiste,consisté
385,une consistance,nf,,,,
386,surprendre,v,þaþýrtmak,surprendre,surprend,surpris
386,une surprise,nf,,,,
386,surprenant,adj,,,,
386,surpris,adj,,,,
387,une circonstance,nf,"durum, koþul",,,
388,un témoin,nm,"tanýk, þahit",,,
388,témoigner,v,,,,
388,un témoignage,nm,,,,
389,améliorer,v,iyileþtirmek,améliorer,améliore,amélioré
389,une amélioration,nf,,,,
389,une administration,nf,,,,
389,administratif,adj,,,,
389,un administrateur,nm,,,,
390,administrer,v,idare etmek,administrer,administre,administré
391,réfléchir,v,"düþünmek, yansýtmak",réfléchir,réfléchit,réfléchi
391,une réflexion,nf,,,,
391,un réflexe,nm,,,,
391,réflexe,adj,,,,
391,réfléchi,adj,,,,
391,réflexif,adj,,,,
392,une lumière,nf,ýþýk,,,
392,lumineux,adj,,,,
392,illuminer,v,,,,
392,une luminosité,nf,,,,
393,vert,adj,yeþil,,,
393,une verdure,nf,,,,
394,apprécier,v,takdir etmek,apprécier,apprécie,apprécié
394,une appréciation,nf,,,,
394,appréciable,adj,,,,
395,un combat,nm,"kavga, mücadele",,,
395,combattre,v,,,,
395,un combattant,nm,,,,
396,sensible,adj,hassas,,,
396,une sensibilité,nf,,,,
396,sensiblement,adv,,,,
396,insensible,adj,,,,
396,sensibiliser,v,,,,
396,une sensibilisation,nf,,,,
397,Merci !,intj,teþekkür ederim!,,,
397,un merci,nm,,,,
397,remercier,v,,,,
397,un remerciement,nm,,,,
398,une visite,nf,ziyaret,,,
398,visiter,v,,,,
398,un visiteur,nm,,,,
399,une assemblée,nf,"meclis, toplantý",,,
399,rassembler,v,,,,
399,un rassemblement,nm,,,,
399,assembler,v,,,,
399,un assemblage,nm,,,,
400,une émission,nf,"yayýn, program",,,
400,émettre,v,,,,
400,un émetteur,nm,,,,
400,émis,adj,,,,
401,une révolution,nf,devrim,,,
401,révolutionnaire,adj,,,,
402,"un, une partenaire","nm, nf","eþ, partner",,,
402,un partenariat,nm,,,,
403,contenter,v,memnun etmek,contenter,contente,contenté
403,content,adj,,,,
403,mécontent,adj,,,,
403,un mécontentement,nm,,,,
404,un citoyen,nm,vatandaþ,,,
404,une citoyenneté,nf,,,,
404,un concitoyen,nm,,,,
405,citer,v,"alýntýlamak, bahsetmek",citer,cite,cité
405,une cité,nf,,,,
405,une citation,nf,,,,
406,une influence,nf,"etki, nüfuz",,,
406,influencer,v,,,,
406,influer,v,,,,
406,influent,adj,,,,
407,un camp,nm,kamp,,,
407,camper,v,,,,
407,un camping,nm,,,,
407,un campement,nm,,,,
408,destiner,v,"amaçlamak, tahsis etmek",destiner,destine,destiné
408,une destination,nf,,,,
408,un destin,nm,,,,
408,une destinée,nf,,,,
408,un destinataire,nm,,,,
409,un maître,nm,usta; avukat (hitap),,,
409,maîtriser,v,,,,
409,une maîtrise,nf,,,,
410,interroger,v,sorguya çekmek,interroger,interroge,interrogé
410,une interrogation,nf,,,,
410,un interrogatoire,nm,,,,
411,une conférence,nf,konferans,,,
411,conférer,v,,,,
412,provoquer,v,"kýþkýrtmak, neden olmak",provoquer,provoque,provoqué
412,une provocation,nf,,,,
412,un provocateur,nm,,,,
412,provocateur,adj,,,,
412,provocant,adj,,,,
413,un soldat,nm,asker,,,
414,"un, une collègue","nm, nf",meslektaþ,,,
414,collégial,adj,,,,
415,concevoir,v,tasarlamak; doðurmak; anlamak,concevoir,conçoit,conçu
415,un concept,nm,,,,
415,une conception,nf,,,,
415,conceptuel,adj,,,,
415,un concepteur,nm,,,,
415,inconcevable,adj,,,,
415,concevable,adj,,,,
415,conçu,adj,,,,
416,un poids,nm,aðýrlýk,,,
417,acquérir,v,"edinmek, satýn almak",acquérir,acquiert,acquis
417,une acquisition,nf,,,,
417,acquis,adj,,,,
417,un acquis,nm,,,,
417,un acquéreur,nm,,,,
418,convenir,v,"uygun olmak, uymak",convenir,convient,convenu
418,convenable,adj,,,,
418,convenablement,adv,,,,
418,convenu,adj,,,,
418,une convenance,nf,,,,
418,une convention,nf,,,,
418,conventionnel,adj,,,,
418,un inconvénient,nm,,,,
419,logique,adj,mantýklý,,,
419,la logique,nf,,,,
419,un logiciel,nm,,,,
419,logiquement,adv,,,,
420,examiner,v,"incelemek, muayene etmek",examiner,examine,examiné
420,un examen,nm,,,,
420,réexaminer,v,,,,
421,un soin,nm,"bakým, özen",,,
421,soigner,v,,,,
421,soigneusement,adv,,,,
421,soigné,adj,,,,
422,impliquer,v,"içermek, gerektirmek",impliquer,implique,impliqué
422,une implication,nf,,,,
423,un individu,nm,birey,,,
423,individuel,adj,,,,
423,individuellement,adv,,,,
423,"un, une individualiste","nm, nf",,,,
424,demi,adj,yarým,,,
424,un demi,nm,,,,
425,comporter,v,"içermek, kapsamak",comporter,comporte,comporté
425,un comportement,nm,,,,
425,comportemental,adj,,,,
426,mériter,v,hak etmek,mériter,mérite,mérité
426,un mérite,nm,,,,
427,emprunter,v,ödünç almak,emprunter,emprunte,emprunté
427,un emprunt,nm,,,,
427,un emprunteur,nm,,,,
428,une conscience,nf,vicdan; bilinç,,,
428,conscient,adj,,,,
428,inconscient,adj,,,,
428,consciemment,adv,,,,
429,traduire,v,tercüme etmek,traduire,traduit,traduit
429,une traduction,nf,,,,
429,un traducteur,nm,,,,
430,le sang,nm,kan,,,
430,sanglant,adj,,,,
430,saigner,v,,,,
430,sanguin,adj,,,,
431,une initiative,nf,inisiyatif,,,
431,initial,adj,,,,
431,initialement,adv,,,,
431,initier,v,,,,
431,un initiateur,nm,,,,
431,initialiser,v,,,,
431,une initiation,nf,,,,
431,initié,adj,,,,
431,un initié,nm,,,,
432,nucléaire,adj,nükleer,,,
433,une exception,nf,istisna,,,
433,exceptionnel,adj,,,,
433,exceptionnellement,adv,,,,
433,excepter,v,,,,
433,excepté,adj,,,,
434,un mode,nm,"mod, tarz",,,
434,une mode,nf,,,,
434,une modalité,nf,,,,
435,tendre,v,"uzatmak, germek",tendre,tend,tendu
435,une tendance,nf,,,,
435,une tension,nf,,,,
435,détendre,v,,,,
435,une détente,nf,,,,
435,tendu,adj,,,,
436,tendre,adj,"yumuþak, hassas",,,
436,une tendresse,nf,,,,
436,tendrement,adv,,,,
436,attendrir,v,,,,
437,une musique,nf,müzik,,,
437,un musicien,nm,,,,
437,musical,adj,,,,
438,une gestion,nf,"yönetim, idare",,,
438,gérer,v,,,,
438,"un, une gestionnaire","nm, nf",,,,
438,un gérant,nm,,,,
439,vaste,adj,"geniþ, büyük",,,
440,évoquer,v,"hatýrlatmak, çaðrýþtýrmak",évoquer,évoque,évoqué
440,une évocation,nf,,,,
441,une étape,nf,"aþama, etap",,,
442,physique,adj,fiziksel,,,
442,la physique,nf,,,,
442,un physique,nm,,,,
442,physiquement,adv,,,,
442,la métaphysique,nf,,,,
442,un physicien,nm,,,,
443,accuser,v,suçlamak,accuser,accuse,accusé
443,une accusation,nf,,,,
443,accusé,adj,,,,
443,un accusé,nm,,,,
444,parfaitement,adv,mükemmel þekilde,,,
444,parfait,adj,,,,
444,le parfait,nm,,,,
444,parfaire,v,,,,
444,imparfait,adj,,,,
444,l'imparfait,nm,,,,
445,une méthode,nf,yöntem,,,
445,une méthodologie,nf,,,,
445,méthodique,adj,,,,
445,méthodologique,adj,,,,
446,un professeur,nm,"öðretmen, profesör",,,
446,professer,v,,,,
447,distribuer,v,daðýtmak,distribuer,distribue,distribué
447,une distribution,nf,,,,
447,un distributeur,nm,,,,
447,une redistribution,nf,,,,
447,redistribuer,v,,,,
448,prétendre,v,iddia etmek,prétendre,prétend,prétendu
448,prétendu,adj,,,,
448,une prétention,nf,,,,
448,prétentieux,adj,,,,
448,un prétendant,nm,,,,
449,global,adj,"küresel, genel",,,
449,un globe,nm,,,,
449,englober,v,,,,
449,globalement,adv,,,,
449,une globalisation,nf,,,,
450,un dommage,nm,zarar,,,
450,endommager,v,,,,
450,dédommager,v,,,,
451,un crédit,nm,kredi,,,
451,une crédibilité,nf,,,,
451,crédible,adj,,,,
451,discréditer,v,,,,
451,créditer,v,,,,
451,accréditer,v,,,,
452,une chaîne,nf,zincir; kanal,,,
452,enchaîner,v,,,,
452,déchaîner,v,,,,
452,un enchaînement,nm,,,,
453,relatif,adj,göreceli,,,
453,relativement,adv,,,,
453,relativiser,v,,,,
454,un maximum,nm,maksimum,,,
454,maximum,adj,,,,
454,maximal,adj,,,,
454,une maxime,nf,,,,
454,une maximation,nf,,,,
454,maximiser,v,,,,
455,un moteur,nm,motor,,,
455,moteur,adj,,,,
456,une version,nf,versiyon,,,
457,un couple,nm,çift,,,
457,un couplage,nm,,,,
457,coupler,v,,,,
458,étendre,v,"uzatmak, geniþletmek",étendre,étend,étendu
458,une extension,nf,,,,
458,une étendue,nf,,,,
459,profond,adj,derin,,,
459,profondément,adv,,,,
